epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0749,2.12598,3.54837,2.12036,0.0035,0.57534,0.04513,0.02504,2.30304,3.85939,2.31631,0.00022,0.00022,0.00022
2,24.4852,1.99767,3.3185,1.95236,0.00333,0.54795,0.0333,0.01186,2.18483,3.79649,2.35319,0.000455446,0.000455446,0.000455446
3,34.2575,1.91939,2.96553,1.85605,0.13908,0.15068,0.06553,0.02175,2.72735,4.98221,4.91953,0.00068614,0.00068614,0.00068614
4,42.1863,1.97349,3.00813,1.97182,0.00162,0.0274,0.00094,0.00033,nan,nan,nan,0.000912082,0.000912082,0.000912082
5,49.7515,1.92385,2.80385,1.95959,0.14311,0.12329,0.06133,0.01992,nan,nan,nan,0.00113327,0.00113327,0.00113327
6,58.3269,1.98516,2.87984,1.94703,0.14558,0.13699,0.05519,0.01709,nan,nan,nan,0.00134971,0.00134971,0.00134971
7,67.5166,1.92677,2.71364,1.92814,0.07584,0.21918,0.03356,0.01176,2.38586,6.16506,3.67203,0.0015614,0.0015614,0.0015614
8,76.7204,1.97491,2.69142,1.92449,0.17261,0.16438,0.08095,0.02486,2.66642,7.89518,4.53698,0.00176833,0.00176833,0.00176833
9,86.0001,1.97394,2.69865,1.93473,0.12441,0.26027,0.07436,0.02275,2.52752,6.79551,3.42319,0.0018416,0.0018416,0.0018416
10,94.7121,2.02317,2.64813,1.97962,0.02428,0.05479,0.00545,0.00142,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,103.855,1.97358,2.54399,1.88633,0.07768,0.09589,0.02369,0.00523,nan,nan,nan,0.001802,0.001802,0.001802
12,113.072,1.87854,2.5651,1.9202,0.20588,0.09589,0.05034,0.01721,2.61485,18.6331,3.44349,0.0017822,0.0017822,0.0017822
13,122.253,1.95326,2.55358,1.94048,0.0712,0.13699,0.02671,0.00717,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,131.519,1.88576,2.43786,1.88228,0.15812,0.17808,0.08931,0.03616,2.40666,11.6139,2.68371,0.0017426,0.0017426,0.0017426
15,140.297,1.85931,2.39384,1.85919,0.07939,0.20548,0.04717,0.01303,2.64749,4.00288,2.63321,0.0017228,0.0017228,0.0017228
16,146.509,1.91501,2.39873,1.93975,0.28594,0.12329,0.09732,0.04481,nan,nan,nan,0.001703,0.001703,0.001703
17,155.845,1.82974,2.36674,1.86816,0.27052,0.19306,0.13965,0.07362,nan,nan,nan,0.0016832,0.0016832,0.0016832
18,165.271,1.89163,2.40786,1.9321,0.34792,0.24658,0.23947,0.12106,2.05291,3.94553,2.20705,0.0016634,0.0016634,0.0016634
19,174.426,1.84104,2.31673,1.81849,0.28508,0.17808,0.17888,0.09941,2.13877,7.4011,2.24427,0.0016436,0.0016436,0.0016436
20,183.664,1.83882,2.32544,1.80174,0.42791,0.26648,0.26962,0.1312,2.03328,4.64167,2.14047,0.0016238,0.0016238,0.0016238
21,191.878,1.74265,2.23151,1.76402,0.45088,0.27397,0.24049,0.12267,2.09529,3.55085,2.17021,0.001604,0.001604,0.001604
22,201.11,1.89203,2.37091,1.89753,0.50312,0.31909,0.34843,0.16192,2.01994,2.93876,2.12041,0.0015842,0.0015842,0.0015842
23,210.303,1.84311,2.32869,1.89505,0.22576,0.16438,0.10151,0.03118,2.28002,4.89916,2.44487,0.0015644,0.0015644,0.0015644
24,219.427,1.80938,2.3858,1.88884,0.45013,0.27397,0.27278,0.14857,2.0838,4.04811,2.23432,0.0015446,0.0015446,0.0015446
25,228.492,1.77742,2.28638,1.79276,0.25581,0.31507,0.17008,0.07869,2.13242,4.07115,2.19829,0.0015248,0.0015248,0.0015248
26,236.633,1.8162,2.40991,1.87362,0.23774,0.32877,0.17187,0.09586,2.06423,3.50721,2.15597,0.001505,0.001505,0.001505
27,244.859,1.76473,2.22558,1.80052,0.31826,0.31507,0.23101,0.12434,1.92204,3.27449,2.02168,0.0014852,0.0014852,0.0014852
28,250.42,1.74095,2.22727,1.81156,0.34496,0.31507,0.26164,0.12657,1.98982,2.71395,1.95385,0.0014654,0.0014654,0.0014654
29,257.342,1.67273,2.10276,1.72566,0.4942,0.27397,0.30009,0.16383,1.84911,2.5168,1.86089,0.0014456,0.0014456,0.0014456
30,264.552,1.68737,2.07612,1.74574,0.40223,0.34247,0.27483,0.13146,1.78557,2.6982,1.84967,0.0014258,0.0014258,0.0014258
31,270.573,1.72251,2.06934,1.77956,0.37398,0.33558,0.29702,0.16803,1.8824,2.41752,1.91915,0.001406,0.001406,0.001406
32,277.596,1.702,2.16079,1.76452,0.38634,0.31507,0.2876,0.15078,1.86923,2.40373,1.98188,0.0013862,0.0013862,0.0013862
33,285.585,1.65144,2.01612,1.7497,0.3989,0.30137,0.27447,0.12229,1.89212,2.81953,2.01235,0.0013664,0.0013664,0.0013664
34,293.09,1.73083,2.19645,1.85829,0.27063,0.30137,0.21324,0.11522,1.94829,2.69086,1.99999,0.0013466,0.0013466,0.0013466
35,301.704,1.80651,2.18647,1.85517,0.31668,0.32877,0.25114,0.13465,1.99293,2.754,2.0805,0.0013268,0.0013268,0.0013268
36,310.17,1.6952,2.12545,1.75088,0.55484,0.29031,0.33381,0.17727,1.952,2.65953,2.00659,0.001307,0.001307,0.001307
37,318.308,1.65236,2.00808,1.71163,0.41847,0.31507,0.28157,0.15383,1.9678,2.4496,2.01056,0.0012872,0.0012872,0.0012872
38,325.822,1.72252,2.08498,1.7621,0.29977,0.32877,0.22083,0.11965,2.01532,2.51103,1.98945,0.0012674,0.0012674,0.0012674
39,333.875,1.6881,2.0338,1.71975,0.51965,0.21918,0.26758,0.16553,1.7927,2.70584,1.78862,0.0012476,0.0012476,0.0012476
40,341.202,1.63018,1.99651,1.69011,0.50317,0.32877,0.35637,0.19206,1.87539,2.44284,1.91282,0.0012278,0.0012278,0.0012278
41,348.564,1.6175,1.92301,1.6708,0.378,0.38296,0.3119,0.1559,1.92427,2.53331,1.95675,0.001208,0.001208,0.001208
42,355.256,1.65112,1.97633,1.71886,0.43657,0.37153,0.33975,0.21163,1.76148,2.20776,1.82067,0.0011882,0.0011882,0.0011882
43,361.365,1.66869,1.94437,1.74389,0.58466,0.35616,0.33545,0.19938,1.79186,2.18972,1.81733,0.0011684,0.0011684,0.0011684
44,367.336,1.64045,1.95284,1.68592,0.5111,0.32877,0.33755,0.19519,1.8054,2.07084,1.826,0.0011486,0.0011486,0.0011486
45,373.977,1.56244,1.86305,1.61531,0.34948,0.42466,0.35127,0.20372,1.7698,2.24127,1.80306,0.0011288,0.0011288,0.0011288
46,381.291,1.56387,1.86318,1.61493,0.354,0.32877,0.30621,0.16754,1.931,2.41735,1.95074,0.001109,0.001109,0.001109
47,388.444,1.55133,1.90853,1.66802,0.4028,0.31507,0.29365,0.16895,1.91157,2.38259,1.9056,0.0010892,0.0010892,0.0010892
48,394.403,1.5998,1.88395,1.67375,0.50747,0.31507,0.32764,0.17423,1.90268,2.30586,1.95206,0.0010694,0.0010694,0.0010694
49,400.555,1.61691,1.83628,1.69944,0.44969,0.35616,0.32025,0.19262,1.78989,2.211,1.85809,0.0010496,0.0010496,0.0010496
50,406.735,1.60166,1.81985,1.6936,0.36593,0.41096,0.32647,0.18415,1.80069,2.26407,1.87056,0.0010298,0.0010298,0.0010298
