epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1015,4.28532,9.74793,4.1085,0.0025,0.41096,0.01532,0.00454,4.09477,11.2735,4.22365,0.00022,0.00022,0.00022
2,29.4391,3.83937,9.70822,3.71818,0.00283,0.46575,0.04118,0.01683,3.81161,10.9689,3.88183,0.000455446,0.000455446,0.000455446
3,38.7263,3.49508,8.57195,3.39282,0.23474,0.0274,0.05386,0.02407,4.67068,11.5407,5.70836,0.00068614,0.00068614,0.00068614
4,47.9439,3.71277,8.31909,3.61681,0.03149,0.05479,0.01272,0.00302,4.93331,12.5999,8.09008,0.000912082,0.000912082,0.000912082
5,57.2233,3.61139,7.41699,3.59623,0.00058,0.09589,0.00033,9e-05,6.48216,208.007,24.1619,0.00113327,0.00113327,0.00113327
6,66.8051,3.80839,7.46415,3.73064,0.18056,0.0411,0.0305,0.00634,5.25557,18.9605,9.02397,0.00134971,0.00134971,0.00134971
7,75.8558,3.6188,6.82073,3.56965,0.20909,0.09589,0.04527,0.01782,4.9666,8.50511,5.21839,0.0015614,0.0015614,0.0015614
8,85.0058,3.65973,6.52322,3.53418,0.00024,0.0137,9e-05,3e-05,6.94428,inf,16.8793,0.00176833,0.00176833,0.00176833
9,94.0986,3.821,6.34272,3.64596,0.00049,0.05479,0.00028,6e-05,5.88464,inf,24.3711,0.0018416,0.0018416,0.0018416
10,103.09,3.78814,6.19638,3.62383,0.00101,0.16438,0.00061,0.00021,6.89041,inf,14.1427,0.0018218,0.0018218,0.0018218
11,112.242,3.86301,5.8339,3.52494,0.04697,0.15068,0.02195,0.00533,5.24966,97.9744,8.23589,0.001802,0.001802,0.001802
12,121.425,3.60234,5.78137,3.56212,0.03326,0.13699,0.01453,0.00387,5.53631,34.1396,8.30551,0.0017822,0.0017822,0.0017822
13,129.446,3.81025,5.73758,3.59899,0.17398,0.12329,0.05533,0.02763,5.11768,10.8717,5.62897,0.0017624,0.0017624,0.0017624
14,136.664,3.6902,5.52108,3.50193,0.04061,0.08219,0.01868,0.00546,5.66782,7.4518,5.50922,0.0017426,0.0017426,0.0017426
15,144.127,3.59233,5.42439,3.35691,0.10065,0.09589,0.06472,0.0189,4.93727,7.67819,4.95789,0.0017228,0.0017228,0.0017228
16,150.967,3.61673,5.18826,3.40873,0.16803,0.09589,0.07928,0.02182,4.91379,7.44606,4.78742,0.001703,0.001703,0.001703
17,158.444,3.54494,5.25604,3.30116,0.06041,0.12329,0.02857,0.01017,4.68777,7.73243,4.54832,0.0016832,0.0016832,0.0016832
18,166.242,3.62226,5.34714,3.39826,0.03781,0.0411,0.00597,0.00177,5.94444,12.9285,6.02265,0.0016634,0.0016634,0.0016634
19,174.189,3.60974,5.14483,3.28332,0.27429,0.23288,0.15657,0.07586,4.15449,8.42772,4.12747,0.0016436,0.0016436,0.0016436
20,179.042,3.54825,5.04323,3.23541,0.32068,0.17808,0.15555,0.08239,4.18151,6.40067,4.14913,0.0016238,0.0016238,0.0016238
21,183.336,3.50154,5.05893,3.34882,0.27075,0.19178,0.15067,0.07902,4.05173,6.15088,3.86032,0.001604,0.001604,0.001604
22,188.727,3.57232,5.22429,3.36294,0.38408,0.22216,0.2149,0.08501,4.13961,5.95582,3.9847,0.0015842,0.0015842,0.0015842
23,195.504,3.5604,5.03854,3.36613,0.30131,0.30137,0.18815,0.07738,4.18496,6.82531,4.05838,0.0015644,0.0015644,0.0015644
24,202.936,3.58777,5.04486,3.43474,0.37911,0.36986,0.29576,0.14945,3.93737,5.66719,3.86818,0.0015446,0.0015446,0.0015446
25,210.153,3.50068,5.0985,3.27296,0.21829,0.16438,0.11892,0.06383,4.10354,5.94133,3.79812,0.0015248,0.0015248,0.0015248
26,215.883,3.45539,5.09364,3.35492,0.37646,0.30137,0.27308,0.15316,3.91043,5.22923,3.74752,0.001505,0.001505,0.001505
27,223.194,3.48367,4.78455,3.30106,0.34632,0.21918,0.19822,0.11934,3.87226,6.80663,3.62907,0.0014852,0.0014852,0.0014852
28,228.055,3.44932,4.95949,3.29335,0.98506,0.20548,0.26313,0.15138,4.04268,5.45143,3.74295,0.0014654,0.0014654,0.0014654
29,234.822,3.25391,4.64838,3.14328,0.50103,0.19178,0.21867,0.09945,3.93024,5.95748,3.6724,0.0014456,0.0014456,0.0014456
30,241.283,3.3662,4.57246,3.25558,0.33003,0.28767,0.18216,0.07339,3.80458,6.34952,3.83581,0.0014258,0.0014258,0.0014258
31,247.636,3.3568,4.53583,3.21278,0.42369,0.24658,0.21324,0.11967,3.73352,5.81076,3.68577,0.001406,0.001406,0.001406
32,254.448,3.36793,4.7802,3.29978,0.35228,0.27397,0.23404,0.13478,3.54458,5.02963,3.52695,0.0013862,0.0013862,0.0013862
33,261.113,3.2295,4.36931,3.19225,0.44537,0.23288,0.26106,0.13005,3.733,5.17765,3.66299,0.0013664,0.0013664,0.0013664
34,268.395,3.34818,4.57541,3.34716,0.32155,0.31507,0.24165,0.11846,3.87435,5.28742,3.69839,0.0013466,0.0013466,0.0013466
35,276.701,3.52744,4.79451,3.36793,0.73143,0.22398,0.2928,0.16886,3.6717,5.5581,3.56667,0.0013268,0.0013268,0.0013268
36,284.007,3.33527,4.51012,3.13985,0.41646,0.30137,0.30585,0.16586,3.70389,4.96376,3.57485,0.001307,0.001307,0.001307
37,287.977,3.22045,4.21397,3.09257,0.46095,0.29292,0.25797,0.1279,3.72389,5.27831,3.66678,0.0012872,0.0012872,0.0012872
38,294.153,3.41654,4.49495,3.20482,0.20624,0.27397,0.17594,0.08033,3.8028,5.4107,3.54354,0.0012674,0.0012674,0.0012674
39,298.671,3.39838,4.29827,3.0989,0.348,0.36986,0.24945,0.13602,3.75273,4.85533,3.56726,0.0012476,0.0012476,0.0012476
40,305.862,3.35256,4.30832,3.17901,0.48224,0.24249,0.25829,0.15382,3.74313,5.39829,3.56031,0.0012278,0.0012278,0.0012278
41,311.381,3.26291,4.15777,3.18015,0.24297,0.31219,0.23675,0.13415,3.74024,5.14185,3.50237,0.001208,0.001208,0.001208
42,317.048,3.19321,4.2893,3.09581,0.54961,0.28767,0.32335,0.16514,3.85943,4.73318,3.62758,0.0011882,0.0011882,0.0011882
43,323.801,3.33535,4.26384,3.19814,0.37869,0.34247,0.2946,0.16038,3.67982,4.78219,3.45461,0.0011684,0.0011684,0.0011684
44,330.294,3.1754,4.20117,3.10573,0.34343,0.35113,0.28245,0.15907,3.5933,4.90759,3.38388,0.0011486,0.0011486,0.0011486
45,335.105,3.16334,4.18196,3.02025,0.33045,0.32877,0.25886,0.14598,3.65727,4.94562,3.44041,0.0011288,0.0011288,0.0011288
46,340.06,3.11372,4.16086,3.00104,0.45357,0.38664,0.34057,0.20941,3.66002,4.50671,3.58978,0.001109,0.001109,0.001109
47,345.146,3.1058,4.19984,3.11476,0.49253,0.32877,0.31948,0.17461,3.70418,4.855,3.54005,0.0010892,0.0010892,0.0010892
48,349.658,3.09712,4.11646,3.04812,0.42902,0.27397,0.29736,0.18227,3.47379,4.64033,3.36913,0.0010694,0.0010694,0.0010694
49,354.939,3.1186,3.9751,3.04277,0.45569,0.30137,0.31541,0.19184,3.47182,4.42281,3.35729,0.0010496,0.0010496,0.0010496
50,360.17,3.16188,3.86887,3.12565,0.31037,0.36986,0.27794,0.16443,3.39324,4.64184,3.31602,0.0010298,0.0010298,0.0010298
51,365.297,2.95514,4.03747,3.0476,0.35455,0.45905,0.32084,0.17088,3.39669,4.32229,3.32508,0.00101,0.00101,0.00101
52,370.134,3.11381,4.03923,3.04956,0.59109,0.26027,0.31586,0.20093,3.36239,4.43791,3.31077,0.0009902,0.0009902,0.0009902
53,374.522,3.35851,4.24,3.28882,0.57447,0.21918,0.28891,0.17978,3.56158,4.76274,3.47745,0.0009704,0.0009704,0.0009704
54,378.503,3.14571,3.81446,3.04033,0.37167,0.36468,0.3022,0.17437,3.574,4.61472,3.55807,0.0009506,0.0009506,0.0009506
55,382.85,3.13005,3.95758,3.09019,0.41106,0.34423,0.32879,0.18029,3.53753,4.37159,3.4039,0.0009308,0.0009308,0.0009308
56,388.385,3.15314,3.92941,3.06909,0.40482,0.38356,0.29994,0.15505,3.46077,4.58062,3.40504,0.000911,0.000911,0.000911
57,393.078,2.9071,3.97731,2.89269,0.40222,0.40561,0.30918,0.17232,3.5796,4.41572,3.44289,0.0008912,0.0008912,0.0008912
58,398.106,2.99764,3.91451,2.97208,0.53379,0.32877,0.32966,0.20238,3.65732,4.40797,3.48923,0.0008714,0.0008714,0.0008714
59,402.457,3.04638,3.88092,3.03802,0.50138,0.35616,0.36989,0.19553,3.65187,4.40843,3.46425,0.0008516,0.0008516,0.0008516
60,406.315,3.05086,3.75337,2.94262,0.52716,0.34247,0.31947,0.1963,3.52189,4.74149,3.45123,0.0008318,0.0008318,0.0008318
61,411.048,2.86104,3.60103,2.89055,0.45866,0.28767,0.29589,0.19951,3.41959,4.5047,3.33595,0.000812,0.000812,0.000812
62,416.072,2.92278,3.58347,2.81539,0.54219,0.37319,0.39703,0.22379,3.47632,4.34852,3.35722,0.0007922,0.0007922,0.0007922
63,421.682,3.11412,3.89736,2.96305,0.66615,0.32877,0.39202,0.22766,3.41898,4.17322,3.33067,0.0007724,0.0007724,0.0007724
64,426.16,2.93458,3.77149,2.93417,0.38684,0.41096,0.36471,0.22627,3.45767,4.20585,3.41207,0.0007526,0.0007526,0.0007526
65,430.85,2.87034,3.54388,2.96064,0.48961,0.30137,0.363,0.21379,3.60189,4.26203,3.45552,0.0007328,0.0007328,0.0007328
66,435.219,3.06121,3.80007,2.95119,0.57241,0.32877,0.39325,0.2236,3.44522,4.15384,3.42177,0.000713,0.000713,0.000713
67,440.406,2.93709,3.53036,2.98434,0.54658,0.29731,0.35253,0.20591,3.53195,4.36366,3.41991,0.0006932,0.0006932,0.0006932
68,444.98,2.92856,3.62948,2.98804,0.38523,0.42466,0.32478,0.19218,3.3568,4.22365,3.29712,0.0006734,0.0006734,0.0006734
69,449.665,2.98794,3.50279,2.8811,0.46547,0.34247,0.33097,0.20594,3.49614,4.52756,3.39189,0.0006536,0.0006536,0.0006536
70,453.816,2.87864,3.53785,2.84444,0.56709,0.24658,0.30069,0.17564,3.36977,4.52271,3.42234,0.0006338,0.0006338,0.0006338
71,458.224,2.80057,3.45476,2.72229,0.58795,0.31507,0.3767,0.19226,3.47975,4.37129,3.44927,0.000614,0.000614,0.000614
72,462.576,2.75481,3.3839,2.83145,0.59444,0.30137,0.34993,0.19533,3.51551,4.43164,3.46996,0.0005942,0.0005942,0.0005942
73,466.882,2.77024,3.46342,2.81073,0.56939,0.30802,0.36915,0.22085,3.32858,4.18837,3.32937,0.0005744,0.0005744,0.0005744
74,471.637,2.77133,3.43256,2.79259,0.34115,0.38356,0.32497,0.17793,3.33248,4.34129,3.29691,0.0005546,0.0005546,0.0005546
75,476.737,2.89776,3.60695,2.89755,0.34645,0.31507,0.30014,0.15584,3.38106,4.49199,3.36528,0.0005348,0.0005348,0.0005348
76,481.922,2.77531,3.56507,2.89984,0.6576,0.27397,0.32354,0.1921,3.45007,4.29605,3.34336,0.000515,0.000515,0.000515
77,486.864,2.77158,3.54825,2.82823,0.30706,0.35616,0.32108,0.19027,3.44206,4.4108,3.33953,0.0004952,0.0004952,0.0004952
78,491.985,2.81494,3.53204,2.88085,0.45753,0.30042,0.32075,0.17161,3.52694,4.78468,3.36357,0.0004754,0.0004754,0.0004754
79,496.426,2.74389,3.31235,2.72755,0.62731,0.27676,0.3451,0.18843,3.5857,4.53734,3.3973,0.0004556,0.0004556,0.0004556
